type,nameOrig,nameDest,amount,isFraud
TRANSFER,C0000000,M0000000,3515.124796900957,0
TRANSFER,C0000001,M0000001,7786.344736707957,0
CASH_IN,C0000002,M0000002,4527.326871367514,0
PAYMENT,C0000003,M0000003,4408.294173071983,0
CASH_IN,C0000004,M0000004,6004.950633687319,0
CASH_OUT,C0000005,M0000005,4967.351245151283,0
CASH_IN,C0000006,M0000006,6105.543205559583,0
PAYMENT,C0000007,M0000007,279.0240914226261,0
CASH_IN,C0000008,M0000008,4273.263776746814,0
PAYMENT,C0000009,M0000009,6980.71574764055,0
TRANSFER,C0000010,M0000010,6412.278608468321,0
DEBIT,C0000011,M0000011,1318.2963237509994,0
TRANSFER,C0000012,M0000012,9531.306007040232,0
TRANSFER,C0000013,M0000013,9447.107299395124,0
TRANSFER,C0000014,M0000014,2797.4293133824735,0
CASH_OUT,C0000015,M0000015,8266.80127443938,0
CASH_IN,C0000016,M0000016,2914.275736549984,0
CASH_IN,C0000017,M0000017,240.30680143272699,0
TRANSFER,C0000018,M0000018,2508.42355225111,0
PAYMENT,C0000019,M0000019,9822.550679298665,0
CASH_IN,C0000020,M0000020,2766.0075561950703,0
CASH_OUT,C0000021,M0000021,5031.110701080448,0
CASH_IN,C0000022,M0000022,2878.8561211612773,0
TRANSFER,C0000023,M0000023,636.0155472443374,0
PAYMENT,C0000024,M0000024,9140.04709043716,0
DEBIT,C0000025,M0000025,9321.779184936377,0
PAYMENT,C0000026,M0000026,3317.7146804985937,0
CASH_OUT,C0000027,M0000027,1536.834043197457,0
DEBIT,C0000028,M0000028,6252.281924723223,0
DEBIT,C0000029,M0000029,1222.9431741500496,0
CASH_OUT,C0000030,M0000030,815.8053165046231,0
TRANSFER,C0000031,M0000031,171.45432106276616,0
CASH_IN,C0000032,M0000032,8279.565349066264,0
CASH_IN,C0000033,M0000033,3486.38579147745,0
PAYMENT,C0000034,M0000034,3598.7052834140522,0
PAYMENT,C0000035,M0000035,5606.341802136625,0
PAYMENT,C0000036,M0000036,3982.8888899835933,0
DEBIT,C0000037,M0000037,5899.456844101638,0
PAYMENT,C0000038,M0000038,5107.484969195134,0
TRANSFER,C0000039,M0000039,9048.76099132946,0
CASH_IN,C0000040,M0000040,3971.7774960439287,0
PAYMENT,C0000041,M0000041,4417.674168454897,0
DEBIT,C0000042,M0000042,2396.937475197749,0
CASH_OUT,C0000043,M0000043,7129.519695449107,0
CASH_OUT,C0000044,M0000044,1116.5078527471428,0
TRANSFER,C0000045,M0000045,4709.471799450593,0
PAYMENT,C0000046,M0000046,7184.8571009301495,0
CASH_IN,C0000047,M0000047,3919.725805232661,0
DEBIT,C0000048,M0000048,918.5307337774295,0
PAYMENT,C0000049,M0000049,662.7206469715962,0
CASH_IN,C0000050,M0000050,7469.397852755595,0
PAYMENT,C0000051,M0000051,2197.3385057157034,0
CASH_IN,C0000052,M0000052,7825.681729128784,0
CASH_OUT,C0000053,M0000053,1642.0240280307253,0
PAYMENT,C0000054,M0000054,3997.656961185084,0
CASH_IN,C0000055,M0000055,1915.8878570477323,0
CASH_IN,C0000056,M0000056,2327.2360706006257,0
CASH_IN,C0000057,M0000057,3512.5599505000328,0
CASH_IN,C0000058,M0000058,8928.090392016555,0
TRANSFER,C0000059,M0000059,3073.5926108356316,0
DEBIT,C0000060,M0000060,592.2076242206587,0
PAYMENT,C0000061,M0000061,2463.939877374055,0
DEBIT,C0000062,M0000062,2990.2166487585237,0
TRANSFER,C0000063,M0000063,6664.2868176474985,0
TRANSFER,C0000064,M0000064,2037.8350308936376,0
CASH_IN,C0000065,M0000065,5547.007113644506,0
PAYMENT,C0000066,M0000066,2891.7449621107603,0
DEBIT,C0000067,M0000067,4109.549540001597,0
PAYMENT,C0000068,M0000068,6222.4096571019745,0
DEBIT,C0000069,M0000069,6360.419389306774,0
PAYMENT,C0000070,M0000070,7502.138280000802,0
DEBIT,C0000071,M0000071,2408.634946738061,0
PAYMENT,C0000072,M0000072,6338.769329391161,0
TRANSFER,C0000073,M0000073,1279.319735484602,0
CASH_OUT,C0000074,M0000074,9660.465796787434,0
TRANSFER,C0000075,M0000075,9421.18028161471,0
DEBIT,C0000076,M0000076,9951.248260681328,0
TRANSFER,C0000077,M0000077,2247.7184126672123,0
DEBIT,C0000078,M0000078,9993.38828692381,0
PAYMENT,C0000079,M0000079,9825.742647557432,0
TRANSFER,C0000080,M0000080,8436.930386390646,0
TRANSFER,C0000081,M0000081,5831.076213609849,0
TRANSFER,C0000082,M0000082,6236.177184518677,0
DEBIT,C0000083,M0000083,1364.7200039040963,0
CASH_IN,C0000084,M0000084,7337.200477203229,0
DEBIT,C0000085,M0000085,5607.105001438609,0
CASH_OUT,C0000086,M0000086,2441.187125673416,0
PAYMENT,C0000087,M0000087,6661.8980134934,0
CASH_OUT,C0000088,M0000088,7256.688135931895,0
DEBIT,C0000089,M0000089,44.26511693311541,0
CASH_OUT,C0000090,M0000090,4165.818540803619,0
CASH_OUT,C0000091,M0000091,7625.575344538548,0
DEBIT,C0000092,M0000092,2119.8165723464704,0
TRANSFER,C0000093,M0000093,3735.773172256901,0
DEBIT,C0000094,M0000094,2793.6115302009466,0
TRANSFER,C0000095,M0000095,8796.454867742103,0
TRANSFER,C0000096,M0000096,5503.9536416088895,0
TRANSFER,C0000097,M0000097,3781.764993133755,0
CASH_OUT,C0000098,M0000098,4485.075040662639,0
PAYMENT,C0000099,M0000099,5274.209136199798,0
CASH_OUT,C0000100,M0000100,3064.5146594126827,0
PAYMENT,C0000101,M0000101,6609.110333479711,0
CASH_OUT,C0000102,M0000102,9783.239002855675,0
DEBIT,C0000103,M0000103,7077.289317586412,0
DEBIT,C0000104,M0000104,463.6883644854284,0
PAYMENT,C0000105,M0000105,2579.697192528144,0
DEBIT,C0000106,M0000106,5190.1920315732295,0
CASH_IN,C0000107,M0000107,2369.0983613257113,0
CASH_IN,C0000108,M0000108,1055.6035416530929,0
